,importance
misleading_subdomain_detected,1.988293224540068e-06
has_punycode,1.7441187183940793e-05
has_ip_address,0.00014615519302914226
has_double_slash_path,0.00038542840100763194
possible_typosquatting,0.0008790540016107357
url_shortener_detected,0.0009425537839742619
has_at_symbol,0.0016468003172586635
underscore_count,0.004765377049923082
domain_digit_count,0.004868425961934487
domain_hyphen_count,0.0059682804150811425
possible_brand_impersonation,0.006270705462241237
domain_digit_ratio,0.0063039813801610695
brand_similarity_score,0.00722608630764128
tld_caution_indicator,0.009775119720542342
domain_randomness_score,0.017031910153474116
official_brand_domain_match,0.01736997044137394
hyphen_count,0.02128562702533428
suspicious_path_keyword_count,0.023115903202208368
suspicious_keyword_count,0.027469897903351432
special_character_count,0.03170402811508199
domain_entropy,0.03462677008817689
query_length,0.04086438195656427
path_length,0.04422146337885394
dot_count,0.04680379945831901
url_length,0.05959997586637725
hostname_length,0.08976830139543635
has_https,0.14230662955106674
subdomain_count,0.1768957495079311
digit_count,0.17773819448163683
